zincid,SMILES,RF_Morgan,RF_MACCS,XGB_Morgan,XGB_MACCS,DNN_Morgan,DNN_MACCS,Consensus_Avg,Consensus_Weighted,Consensus_Votes,Consensus_Geometric,RF_Morgan_Binary,XGB_Morgan_Binary,DNN_Morgan_Binary,RF_MACCS_Binary,XGB_MACCS_Binary,DNN_MACCS_Binary,Models_Active_Count,Consensus_Active,Consensus_Weighted_Active,Vote_Active,Hit_Level
ZINCtj00001n1JWQ,C[C@@H](O)CN(CCNC(=O)c1cc2nc(Cl)ccc2o1)C(=O)Cc1nccn1C,0.335,0.615,0.90302235,0.620572,0.009332509,0.75242174,0.5392247608862818,0.5346884543226753,4.0,0.3053596996131581,0,1,0,1,1,1,4,0,0,1,Level_1_Low_Confidence
ZINCsK00000gZMS0,CC[C@H](C)[C@H](CN(Cc1cc(C#N)n(C)c1)C(=O)c1ccoc1C1CC1)OC,0.3,0.48,0.64311934,0.78100145,0.9878267,0.0039954344,0.5326571538609763,0.5342404198209285,3.0,0.2566010587102804,0,1,1,0,1,0,3,0,0,0,Level_1_Low_Confidence
ZINCsx00000gmGej,CS(=O)(=O)c1cccc(Cl)c1C(=O)N1[C@H]2CC[C@@H]1CN(C(=O)CCC1CC1)C2,0.29,0.73,0.069552265,0.97766626,0.22427313,0.969837,0.543554777354002,0.5342270191425972,3.0,0.3824868073984211,0,0,0,1,1,1,3,0,0,0,Level_1_Low_Confidence
ZINCss00000lEzPs,CCOC(=O)CC(C)(C)C(=O)N1CCN(C(=O)c2snc(O)c2Cl)C2(CC2)C1,0.385,0.665,0.27692813,0.93558264,0.012848491,0.97785944,0.5422031154856085,0.53420165880035,3.0,0.30676797859158866,0,0,0,1,1,1,3,0,0,0,Level_1_Low_Confidence
ZINCpy00000QmNlU,CC[C@H](O)CC(=O)N(Cc1cc([N+](=O)[O-])sn1)C[C@@H]1C[C@@H]1[C@H]1C[C@H]1C,0.2,0.46,0.05145697,0.8757584,0.66858244,0.9997339,0.5425886238366365,0.5341658931325935,3.0,0.37477961177114943,0,0,1,0,1,1,3,0,0,0,Level_1_Low_Confidence
ZINCtM0000163KJe,CC(C)CC[C@@H]1CCCN(S(=O)(=O)c2nc(N(C)C[C@@H]3CCCO3)ccc2Br)C1,0.285,0.6366666666666666,0.6396769,0.8466752,0.36318046,0.45574006,0.5378232225444582,0.5341409760981305,3.0,0.5033603832144972,0,1,0,1,1,0,3,0,0,0,Level_1_Low_Confidence
ZINCtx00000ghMap,COc1nscc1C(=O)N1CCC[C@@H](N(C)C(=O)c2cc3c(O)cccc3[nH]2)C1,0.33,0.475,0.61478597,0.8361587,0.005377328,0.98346317,0.5407975263769428,0.5337833241962477,3.0,0.2743200003009815,0,1,0,0,1,1,3,0,0,0,Level_1_Low_Confidence
ZINCsp00000FeENH,COc1cc(C(=O)N2CC[C@H](N(CCO)C(=O)c3ncoc3C)C2)ccc1Cl,0.23,0.66,0.5377821,0.85337615,0.008325532,0.9658626,0.5425577212373416,0.5337561330521572,4.0,0.28711617186520494,0,1,0,1,1,1,4,0,0,1,Level_1_Low_Confidence
ZINCtC00000jKmdW,C[C@@H]1C[C@H](NC(=O)c2cc([N+](=O)[O-])ccc2Cl)CN1C(=O)Cc1cccnc1Cl,0.345,0.515,0.28046227,0.4821152,0.61189115,0.9999862,0.5390757993857066,0.5337002161208619,3.0,0.4949408425990687,0,0,1,1,0,1,3,0,0,0,Level_1_Low_Confidence
ZINCsM000006Cdwk,CC(C)(C)c1ncsc1C(=O)N1CCC(CCNC(=O)c2csnc2Cl)CC1,0.36,0.5616666666666668,0.490337,0.8100442,0.22518979,0.7865873,0.5389708329902755,0.533626421522305,3.0,0.49224354658378716,0,0,0,1,1,1,3,0,0,0,Level_1_Low_Confidence
ZINCtl00000aMA49,C=CC[C@]1(NC(=O)CS(=O)(=O)CCCC)CCCN(c2c([N+](=O)[O-])cnn2C)C1,0.24,0.455,0.124533065,0.50925344,0.9089681,0.9999125,0.5396111830572288,0.5334859009287881,3.0,0.42969337108240835,0,0,1,0,1,1,3,0,0,0,Level_1_Low_Confidence
ZINCsh00002dBCBl,COc1nnc(Cl)cc1CC(=O)N1CC(Cn2cc([C@@H]3CCCN3C)nn2)C1,0.40125,0.56,0.70296115,0.7161734,0.0024654898,0.84654117,0.5382318688898037,0.5332219627601299,4.0,0.24860926685465218,0,1,0,1,1,1,4,0,0,1,Level_1_Low_Confidence
ZINCtD000004jIBy,CC(=O)c1cnc(Cl)nc1N1CC(OCCNC(=O)c2ccc(C(C)(C)C)s2)C1,0.245,0.625,0.45224854,0.92625785,0.005464551,0.99986625,0.542306198409448,0.5331319599405776,3.0,0.26552694313709124,0,0,0,1,1,1,3,0,0,0,Level_1_Low_Confidence
ZINCoB00000J06Zj,Cn1nnnc1[C@H](c1cc(Cl)cs1)N1CCO[C@@H](C(C)(C)C)CC1,0.3016666666666667,0.475,0.8208485,0.794765,0.07194066,0.76498204,0.5382004819975958,0.5330645442924883,3.0,0.415487591570431,0,1,0,0,1,1,3,0,0,0,Level_1_Low_Confidence
ZINCsO00000N4QEy,CC1(CC(=O)Nc2ccc(Cl)c([N+](=O)[O-])c2)CN(Cc2cccc(O)c2Cl)C1,0.255,0.505,0.32664835,0.79126763,0.36649534,0.9999998,0.5407351917028427,0.5329880428398753,3.0,0.4797893856670583,0,0,0,1,1,1,3,0,0,0,Level_1_Low_Confidence
ZINCsk00001OV8Pj,CS[C@H]1C[C@H](C(=O)N2CCOC[C@@H]2CN(C)C(=O)c2cc([N+](=O)[O-])ccn2)C1,0.26,0.36,0.70927125,0.06433421,0.8211929,0.9999657,0.5357940176626047,0.5326768724123636,3.0,0.3897864557506306,0,1,1,0,0,1,3,0,0,0,Level_1_Low_Confidence
ZINCrl00001S55tc,C[C@H](NC(=O)c1nn(C)cc1Cl)c1nc(C(=O)N[C@H]2CC[C@@H](O)CC2)co1,0.25666666666666665,0.585,0.537498,0.6789792,0.2939787,0.88258755,0.5391183541880714,0.5325814115437492,4.0,0.49219672511730306,0,1,0,1,1,1,4,0,0,1,Level_1_Low_Confidence
ZINCsm00001S8vDP,O=C(NCCC1CN(S(=O)(=O)c2sccc2F)C1)c1cccc(OCCO)c1,0.25,0.7666666666666666,0.24707833,0.98333126,0.015651926,0.993454,0.5426970274911986,0.532570987395132,3.0,0.29966275913856255,0,0,0,1,1,1,3,0,0,0,Level_1_Low_Confidence
ZINCqj00001zawel,Cc1nc(Cl)ccc1S(=O)(=O)N1CC2(CC(CC(=O)NC[C@H](C)O)C2)C1,0.34,0.5916666666666667,0.31910506,0.9505741,0.1180064,0.9213438,0.5401160049604045,0.5325047441866099,3.0,0.4334781005086699,0,0,0,1,1,1,3,0,0,0,Level_1_Low_Confidence
ZINCso00001wXibx,CCCC1(C(=O)NCCC2CN(S(=O)(=O)c3ccc4oc(O)nc4c3)C2)CC1,0.29,0.66,0.38797057,0.7928226,0.29092923,0.8124323,0.5390257805585862,0.5324008214896452,3.0,0.4904354756659123,0,0,0,1,1,1,3,0,0,0,Level_1_Low_Confidence
ZINCsn00001cj9Ae,Cn1c(Cl)c([C@H](NCC2CC3(C2)CC3(F)F)c2nnnn2C2COC2)sc1=O,0.25,0.52,0.6887977,0.81228715,0.10583064,0.85786843,0.5391306561231614,0.5323905406311048,4.0,0.4331411614590423,0,1,0,1,1,1,4,0,0,1,Level_1_Low_Confidence
ZINCtx00000uI0fx,CC(C)(CCC(=O)NC[C@@H](F)C1CCN(C(=O)C2C3(CC3)C23CC3)CC1)[N+](=O)[O-],0.305,0.305,0.50360495,0.30225718,0.800529,0.9998125,0.5360339359442393,0.5323466435560943,3.0,0.4739439531929873,0,1,1,0,0,1,3,0,0,0,Level_1_Low_Confidence
ZINCtr00000ec6GF,COc1ccnc(C(=O)N[C@H]2C[C@H](O)CN(C(=O)c3sccc3C3CC3)C2)c1F,0.268,0.66,0.09221843,0.95524305,0.27511603,0.9988298,0.5415678813854853,0.5322585338734566,3.0,0.4029671262097899,0,0,0,1,1,1,3,0,0,0,Level_1_Low_Confidence
ZINCtI00000xQwaf,CN(C(=O)C1(c2cccc(Cl)c2)CC1)[C@H]1CCN(S(=O)(=O)c2ccc(I)cc2)C1,0.28,0.665,0.28958893,0.84674174,0.5700836,0.57123685,0.5371085218588512,0.5321993708272351,4.0,0.4958814877432053,0,0,1,1,1,1,4,0,0,1,Level_1_Low_Confidence
ZINCtu000003bqCe,Cc1ccc(F)cc1C(=O)N1CC[C@@](O)([C@@H](C)NC(=O)c2csc([N+](=O)[O-])c2)C1,0.24416666666666667,0.5808333333333333,0.50404537,0.43300533,0.46874487,0.9999798,0.5384625613689423,0.5320976483962777,3.0,0.49386102772907436,0,1,0,1,0,1,3,0,0,0,Level_1_Low_Confidence
ZINCtB00000kjYnV,COc1ccc(C(=O)N[C@H]2CN(C(=O)Cc3ccsc3Cl)C3(CCOCC3)C2)o1,0.32,0.675,0.42545414,0.7919104,0.028539337,0.999785,0.5401148154834906,0.5320315385303387,3.0,0.3571814065867284,0,0,0,1,1,1,3,0,0,0,Level_1_Low_Confidence
ZINCoq00000sXQlX,C[C@@H]1CCN([C@@H](c2sc(=O)n(C)c2Cl)c2nnnn2C)CC1(C)C,0.31,0.59,0.87730813,0.7899988,0.05787322,0.5911485,0.5360547790924708,0.5319246136370702,4.0,0.4038261354436975,0,1,0,1,1,1,4,0,0,1,Level_1_Low_Confidence
ZINCtG00000QWyyg,Cc1cc([N+](=O)[O-])ccc1C(=O)NC[C@]1(CNc2ncc(Br)c(C)n2)CC1(F)F,0.205,0.425,0.25189292,0.6363701,0.715092,0.9993593,0.5387857266267141,0.5318297084975749,3.0,0.4640078779914076,0,0,1,0,1,1,3,0,0,0,Level_1_Low_Confidence
ZINCqC00000lenBx,C[C@@H](CC1(O)CCC1)NC(=O)[C@H]1CCN(C(=O)c2cc(Cl)cs2)C12CC2,0.295,0.5175,0.42984423,0.6815425,0.36328635,0.9420581,0.5382051964600881,0.5318165592437094,3.0,0.4982842925043192,0,0,0,1,1,1,3,0,0,0,Level_1_Low_Confidence
ZINCrk000029UEEh,CCC[C@H](c1nnnn1-c1cccc([N+](=O)[O-])c1)N(C)C[C@@H]1COC(=O)N1,0.245,0.215,0.72720265,0.092773244,0.9280561,0.99843,0.5344103386998177,0.5317791120147873,3.0,0.3857113642773775,0,1,1,0,0,1,3,0,0,0,Level_1_Low_Confidence
ZINCtx00000ghKDH,COc1nscc1C(=O)N(C)[C@@H]1CCN(C(=O)[C@@H]2[C@@H]3CC[C@@]2(c2ccco2)C3)C1,0.355,0.575,0.35380772,0.8815528,0.080455996,0.9899591,0.5392959416409333,0.5316564397820344,3.0,0.414490504316963,0,0,0,1,1,1,3,0,0,0,Level_1_Low_Confidence
ZINCri000011lx9V,Cc1nc(Cl)ccc1S(=O)(=O)N[C@@H]1COCCN(C(=O)c2cccnc2)C1,0.275,0.6941666666666667,0.08430795,0.9253739,0.2679567,0.9986803,0.5409142549501526,0.5316384707690693,3.0,0.39817949618938275,0,0,0,1,1,1,3,0,0,0,Level_1_Low_Confidence
ZINCsE00000pqXFa,O=C(NCCCC1CC1)[C@H](c1cnc2c(c1)COC2)N1CC[C@@]12CCCSC2,0.33,0.48,0.621548,0.7080561,0.39252853,0.67766535,0.5349663293361664,0.5312558698485084,3.0,0.5144746784730359,0,1,0,0,1,1,3,0,0,0,Level_1_Low_Confidence
ZINCqu000004xEMp,COC(=O)c1cc(S(=O)(=O)N2CCC[C@@H]2[C@@H](O)C(F)(F)F)c(F)cc1Br,0.2825,0.6254166666666666,0.26992562,0.8692029,0.5453925,0.6261631,0.5364334734943178,0.5311434413327111,4.0,0.491841278754364,0,0,1,1,1,1,4,0,0,1,Level_1_Low_Confidence
ZINCsR00000N6DIm,CSc1ccc(NC(=O)[C@H](C)C2CCN(Cc3ccc(O)cc3Br)CC2)cn1,0.2816666666666667,0.5425,0.4481243,0.8639448,0.15537152,0.94009024,0.5386162567800946,0.5310280368711368,3.0,0.4529950328888813,0,0,0,1,1,1,3,0,0,0,Level_1_Low_Confidence
ZINCtx00000ghMSw,COc1nscc1C(=O)N1CCN(C(=O)CCCC(C)C)[C@H](c2nccn2C)C1,0.395,0.51,0.8887103,0.80174255,0.08234346,0.52098465,0.5331301637490591,0.5307075277414728,4.0,0.4281238386776555,0,1,0,1,1,1,4,0,0,1,Level_1_Low_Confidence
ZINCrr00000kdKUo,CSc1cc(C(=O)N[C@@H]2CN(C(=O)[C@]34CC[C@H](C[C@H]3O)C4)C[C@@H]2F)c(C)o1,0.2,0.70375,0.39119965,0.9739189,0.014055886,0.96073407,0.5406097531380752,0.5306930449237742,3.0,0.299666720158513,0,0,0,1,1,1,3,0,0,0,Level_1_Low_Confidence
ZINCsV00001dq0jB,CCCNC(=O)[C@@H](c1cc(SC)ccc1Br)N1CCc2c(Cl)ccc(Cl)c2C1,0.355,0.56,0.64839655,0.8222534,0.7735728,0.01673137,0.529325688406825,0.5306032276951463,4.0,0.3333362739924292,0,1,1,1,1,0,4,0,0,1,Level_1_Low_Confidence
